72.606 20 143.692 
72.606 32.8558 128.371 
92.606 32.8558 128.371 
92.606 20 143.692 
#

72.606 20 143.692 
72.606 39.6961 147.165 
92.606 39.6961 147.165 
92.606 20 143.692 
#

72.606 20 143.692 
72.606 26.8404 162.486 
92.606 26.8404 162.486 
92.606 20 143.692 
#

72.606 20 143.692 
72.606 7.14425 159.013 
92.606 7.14425 159.013 
92.606 20 143.692 
#

72.606 20 143.692 
72.606 0.303851 140.219 
92.606 0.303851 140.219 
92.606 20 143.692 
#

72.606 20 143.692 
72.606 13.1596 124.898 
92.606 13.1596 124.898 
92.606 20 143.692 
#

72.606 20 143.692 
72.606 32.8558 128.371 
92.606 32.8558 128.371 
92.606 20 143.692 
#

