-147.868 203.345 -141.242 
-162.854 206.531 -128.386 
-167.012 186.968 -128.386 
-152.026 183.782 -141.242 
#

-147.868 203.345 -141.242 
-166.251 207.253 -148.082 
-170.409 187.69 -148.082 
-152.026 183.782 -141.242 
#

-147.868 203.345 -141.242 
-151.265 204.067 -160.938 
-155.423 184.505 -160.938 
-152.026 183.782 -141.242 
#

-147.868 203.345 -141.242 
-132.882 200.16 -154.098 
-137.04 180.597 -154.098 
-152.026 183.782 -141.242 
#

-147.868 203.345 -141.242 
-129.485 199.438 -134.401 
-133.643 179.875 -134.401 
-152.026 183.782 -141.242 
#

-147.868 203.345 -141.242 
-144.471 202.623 -121.546 
-148.629 183.06 -121.546 
-152.026 183.782 -141.242 
#

-147.868 203.345 -141.242 
-162.854 206.531 -128.386 
-167.012 186.968 -128.386 
-152.026 183.782 -141.242 
#

